33,2,2023-01-25 06:08:24+00,None,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaddaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaddaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaddaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaddaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,31
32,2,2023-01-25 06:03:59+00,None,dd,31
34,2,2023-01-25 06:46:15+00,This Is A Long Post,This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post. This is a long post...,0
31,2,2023-01-25 06:00:04+00,Emoji,"An emoji (/ɪˈmoʊdʒiː/ i-MOH-jee; plural emoji or emojis[1]) is a pictogram, logogram, ideogram or smiley embedded in text and used in electronic messages and web pages. The primary function of emoji is to fill in emotional cues otherwise missing from typed conversation.[2] Examples of emoji are 😂, 😃, 🧘🏻‍♂️, 🌍, 🌦️, 🥖, 🚗, 📱, 🎉, ❤️, ✅, and 🏁. Emoji exist in various genres, including facial expressions, common objects, places and types of weather, and animals. They are much like emoticons, except emoji are pictures rather than typographic approximations; the term 'emoji'"" in the strict sense refers to such pictures which can be represented as encoded characters but it is sometimes applied to messaging stickers by extension.[3] Originally meaning pictograph the word emoji comes from Japanese e (絵 ''picture'') + moji (文字 ''character''); the resemblance to the English words emotion and emoticon is purely coincidental.[4] The ISO 15924 script code for emoji is Zsye.""",0
36,2,2023-01-25 07:17:31+00,None,❤️ ❤️ ❤️ ,24
4,5,2023-01-01 17:58:02+00,Story Time Haha,"Once upon a time, I woke up, I felt happy, the end.",0
3,4,2023-01-01 16:12:01+00,Is 1 + 1 = 3?,Help needed for math question,0
2,3,2023-01-01 15:32:01+00,What Is Life?,I am deep in thought,0
1,2,2023-01-01 14:47:00+00,First Post On This Forum!!!,I am honoured to be the first user to add a post,0
37,28,2023-01-25 08:35:42+00,Hohohoho,hohohohehehe,0
15,23,2023-01-24 06:47:06+00,None,I think you need to go back to school!!!,3
38,28,2023-01-25 08:46:08+00,None,So COOOL!!!  💯  💯  💯 ,20
39,29,2023-01-25 09:12:03+00,None,I think you might correct.,3
17,24,2023-01-24 07:12:43+00,None,baby dont hurt me,2
18,24,2023-01-24 07:14:29+00,Lol,baby dont hurt me,0
16,24,2023-01-24 07:11:48+00,None,meow!,14
14,23,2023-01-24 06:11:29+00,Cny Goodies Recommendations,Can you recommend some good vegetarian lunar new year snacks. I heard the bakkwa kinda bussin~ ,0
19,4,2023-01-24 13:20:53+00,How To Improve Math,"I posted a question on Jsask asking what one plus one equals too. I didn''t get the answer that I wanted, I am sad. How can I know what one plus one equals to??",0
21,4,2023-01-24 13:28:47+00,None,"Trivial. Pick two distinct points out of your 5 (if all 5 are identical then they clearly all lie in a single hemisphere). These two points define at least one great circle (if they''re antipodal, they define infinitely many); pick a great circle they define. This circle then cuts the sphere into two hemispheres. Now pigeonhole the other three points between these two hemispheres.",20
22,18,2023-01-24 13:29:43+00,None,"Wow, Anna Khan this is the most beautiful paragraph I''ve seen this week. Thanks.",20
23,2,2023-01-24 13:46:09+00,None,You have to post more question on the Jsask forum!!!,19
24,25,2023-01-24 13:48:24+00,Getting Started With Redux,"Redux is a predictable state container for JavaScript apps.

It helps you write applications that behave consistently, run in different environments (client, server, and native), and are easy to test. On top of that, it provides a great developer experience, such as live code editing combined with a time traveling debugger.

You can use Redux together with React, or with any other view library. It is tiny (2kB, including dependencies), but has a large ecosystem of addons available.",0
